Code,Year,TOTAL,CO2,CH4,N2O,GVA,ITL1
E06000005,2015,354.5994999,283.2270408,47.90799229,23.46446675,2632,TLC
E06000005,2016,334.1560869,264.0274258,47.85184008,22.27682106,2527,TLC
E06000005,2017,323.518613,251.4355419,48.38579489,23.69727624,2564,TLC
E06000005,2018,317.7266071,242.5892861,51.0562588,24.0810622,2620,TLC
E06000005,2019,314.0820396,234.5751055,54.9001519,24.60678226,2597,TLC
E06000005,2020,323.7035441,221.6573424,80.61671818,21.42948349,2281,TLC
E06000005,2021,329.9902276,235.2287351,71.9968064,22.76468609,2579,TLC
E06000005,2022,289.51844,215.8803532,51.09221482,22.5458719,2733,TLC
E06000005,2023,276.9393104,198.9737947,55.9050972,22.06041852,2816,TLC
E06000047,2015,1820.280591,1309.46769,392.0254265,118.7874743,9289,TLC
E06000047,2016,1587.524467,1047.751218,426.9215882,112.85166,9057,TLC
E06000047,2017,1527.648191,1016.922574,398.4962815,112.2293349,9251,TLC
E06000047,2018,1531.982271,1001.260252,419.4018067,111.3202121,9585,TLC
E06000047,2019,1413.912834,908.9836298,393.0343255,111.8948788,9851,TLC
E06000047,2020,1275.929828,840.7547816,333.257851,101.9171954,9540,TLC
E06000047,2021,1395.738904,938.3863878,350.2027,107.1498165,10318,TLC
E06000047,2022,1385.977118,886.5980269,395.7690072,103.6100843,10569,TLC
E06000047,2023,1302.133963,836.5375087,365.4694981,100.1269559,11162,TLC
E08000037,2015,585.1203968,513.5772986,58.89465074,12.64844741,4674,TLC
E08000037,2016,540.5333251,484.2438566,44.36283073,11.92663775,4706,TLC
E08000037,2017,525.9489593,458.6904032,55.20017109,12.05838501,4655,TLC
E08000037,2018,531.9811531,455.3166898,65.1146731,11.54979022,4583,TLC
E08000037,2019,492.6512469,406.8640777,74.61463683,11.17253233,4939,TLC
E08000037,2020,444.1494833,380.1848567,53.34548307,10.61914353,4116,TLC
E08000037,2021,467.3062913,415.9265353,40.22475728,11.15499871,4751,TLC
E08000037,2022,435.5310523,385.0733317,39.66272022,10.79500038,4649,TLC
E08000037,2023,395.961888,345.3365243,39.25463473,11.37072903,4657,TLC
E06000001,2015,533.8971743,396.1181622,125.3944842,12.38452795,1440,TLC
E06000001,2016,445.5893692,383.7035047,49.68602015,12.19984436,1564,TLC
E06000001,2017,465.2126387,384.2816367,68.31421535,12.61678668,1544,TLC
E06000001,2018,451.0293445,379.2086154,59.76680522,12.05392387,1473,TLC
E06000001,2019,417.1252298,357.9693837,46.96225258,12.19359347,1467,TLC
E06000001,2020,429.0479522,374.0753322,43.77427143,11.19834865,1452,TLC
E06000001,2021,466.6495461,402.4770636,51.88422429,12.28825828,1448,TLC
E06000001,2022,426.6855561,357.677505,56.42050488,12.58754622,1457,TLC
E06000001,2023,366.5836256,312.1907086,41.59205857,12.80085842,1466,TLC
E06000002,2015,389.2736895,248.1342485,133.7285157,7.410925294,3016,TLC
E06000002,2016,334.0183761,224.8901891,102.018588,7.109599079,3112,TLC
E06000002,2017,300.8385759,213.7471044,79.97220136,7.119270112,3251,TLC
E06000002,2018,335.1433605,227.03736,100.7101812,7.395819383,3414,TLC
E06000002,2019,329.8291761,199.3723917,123.0645656,7.392218818,3337,TLC
E06000002,2020,287.8894363,196.6428034,84.02044167,7.226191212,2749,TLC
E06000002,2021,285.5341568,198.5499722,79.61459903,7.369585559,3250,TLC
E06000002,2022,295.6548611,194.1697129,94.44629537,7.038852838,3526,TLC
E06000002,2023,293.5867175,177.0931905,109.2212628,7.272264255,3501,TLC
E08000021,2015,778.7571066,653.7391114,107.2688993,17.74909586,9303,TLC
E08000021,2016,698.6801043,584.5049722,97.1788331,16.99629909,9532,TLC
E08000021,2017,646.0043536,548.377301,80.65179745,16.9752551,9942,TLC
E08000021,2018,618.689565,557.9839958,43.59919376,17.10637552,9918,TLC
E08000021,2019,570.4168187,493.9212438,59.43451657,17.06105832,10141,TLC
E08000021,2020,517.7263537,447.2189894,54.22928488,16.27807941,8550,TLC
E08000021,2021,561.2981427,497.5635751,47.23373869,16.50082886,10009,TLC
E08000021,2022,584.6779874,470.3290404,98.03357612,16.3153709,10933,TLC
E08000021,2023,530.806563,428.6457712,85.29118968,16.86960217,11305,TLC
E08000022,2015,433.6700065,382.165595,43.01032319,8.4940883,4057,TLC
E08000022,2016,387.3508469,338.5907752,40.04217949,8.717892175,4193,TLC
E08000022,2017,407.3990994,323.8989606,74.78130979,8.718829103,4617,TLC
